rounds	polymerase	contig_error	contig_n	contig_frac_chimera	pc_error	pc_frac_chimera	vsearch_sens	vsearch_spec	n_references
20	ACC	0.0012679650487291171	745	0.004010695187165776	1.9099257781621208e-4	0.004010695187165776	0.6666666666666666	1	9
20	K	6.110483733737605e-4	1022	0.007766990291262136	6.57464738619092e-5	0.007766990291262136	0.5714285714285714	1	9
20	PHU	4.0984987143065675e-4	5632	3.549875754348598e-4	3.93009484161016e-5	3.549875754348598e-4	1	1	9
20	PL	2.714015378293367e-4	79487	6.28638243836202e-4	1.690676510779828e-5	6.28638243836202e-4	0.7647058823529411	1	9
20	Q5	3.238599695681946e-4	5016	9.958175662218682e-4	1.6547746157573942e-5	9.958175662218682e-4	0.25	1	9
25	ACC	0.0011907634991575973	65738	0.0027004065780690577	1.0371759328766191e-4	0.0027155774015413556	0.7070707070707071	0.9974025974025974	9
25	K	5.101553096145255e-4	4052	0.014111922141119221	5.4625352991957394e-5	0.014111922141119221	0.7073170731707317	1	9
25	PHU	3.890712776886389e-4	107308	0.0011635158657023446	2.5341818029392238e-5	0.0011728239926279635	0.8169014084507042	1	9
25	PL	4.1286477249995147e-4	165160	0.03472218163540833	3.064082288802443e-5	0.03498518418945535	0.786783042394015	0.9723502304147466	9
25	Q5	4.1220061727113665e-4	97106	0.007796135650716775	2.3853704335777117e-5	0.007857442090958322	0.8134556574923547	0.9788732394366197	9
30	ACC	0.001237752108360179	2363	0.009224318658280923	1.1875848872296153e-4	0.009224318658280923	0.5	1	9
30	K	6.2209714946619e-4	6722	0.023390963242772046	4.880435217220527e-5	0.023390963242772046	0.8695652173913043	1	9
30	PHU	6.434645591727144e-4	115879	0.07364238834128754	4.8690187851593265e-5	0.07460168996970205	0.7315490673154906	0.9818840579710145	9
30	PL	9.444577872765778e-4	260152	0.17938300422686265	1.4465541880128257e-4	0.18171724181439658	0.6261031119368323	0.9566630552546046	9
30	Q5	6.03160325193153e-4	88839	0.07970331389265847	5.3395908528488925e-5	0.08058384179503382	0.7384324834749764	0.9820627802690582	9
35	ACC	0.001753678281836419	202668	0.06784595642515144	2.3333758619141444e-4	0.0691429911829233	0.7210958904109589	0.9918386941910706	9
35	K	6.86743725511306e-4	4846	0.027298273785628262	1.0929309389989568e-4	0.027298273785628262	0.7272727272727273	0.9661016949152542	9
35	PHU	8.027088090365556e-4	150653	0.10191416938402018	8.185711145685858e-5	0.10393504581249366	0.6631299734748011	0.9868667917448405	9
35	PL	0.0013072370083815745	150974	0.2631532709915468	3.713569544667277e-4	0.26682349725709154	0.573399182561308	0.9332146037399822	9
35	Q5	0.0010095677291929105	72432	0.14207540241865754	1.2106540179489715e-4	0.1442311109005413	0.6876758581879572	0.9874371859296482	9
